Frame 0, Person 0:
  Keypoint 7: (x=928.32, y=368.35, confidence=1.00)
  Keypoint 8: (x=956.65, y=391.39, confidence=0.99)
  Keypoint 9: (x=962.36, y=304.21, confidence=1.00)
Frame 2, Person 2:
  Keypoint 0: (x=589.86, y=274.31, confidence=1.00)
  Keypoint 1: (x=596.10, y=374.15, confidence=1.00)
  Keypoint 2: (x=557.18, y=330.09, confidence=1.00)
  Keypoint 3: (x=634.75, y=318.69, confidence=1.00)
  Keypoint 4: (x=518.12, y=374.51, confidence=1.00)
  Keypoint 5: (x=437.15, y=394.57, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=654.44, y=380.30, confidence=1.00)
  Keypoint 8: (x=707.21, y=359.27, confidence=1.00)
  Keypoint 9: (x=673.85, y=269.91, confidence=1.00)
Frame 2, Person 3:
  Keypoint 0: (x=1227.73, y=241.66, confidence=0.99)
  Keypoint 1: (x=1223.14, y=325.44, confidence=1.00)
  Keypoint 2: (x=1182.99, y=283.95, confidence=1.00)
  Keypoint 3: (x=1262.67, y=296.21, confidence=0.99)
  Keypoint 4: (x=1132.68, y=320.64, confidence=0.99)
  Keypoint 5: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=1246.78, y=339.83, confidence=0.99)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.02)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 3, Person 0:
  Keypoint 0: (x=181.36, y=273.88, confidence=1.00)
  Keypoint 1: (x=193.37, y=373.16, confidence=1.00)
  Keypoint 2: (x=151.32, y=337.56, confidence=1.00)
  Keypoint 3: (x=228.79, y=323.29, confidence=1.00)
  Keypoint 4: (x=147.63, y=384.61, confidence=1.00)
  Keypoint 5: (x=114.24, y=471.99, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=270.89, y=381.39, confidence=1.00)
  Keypoint 8: (x=332.06, y=427.46, confidence=1.00)
  Keypoint 9: (x=329.62, y=310.75, confidence=1.00)
Frame 3, Person 1:
  Keypoint 0: (x=883.45, y=267.04, confidence=1.00)
  Keypoint 1: (x=884.26, y=361.31, confidence=1.00)
  Keypoint 2: (x=843.49, y=318.02, confidence=1.00)
  Keypoint 3: (x=924.25, y=321.28, confidence=1.00)
  Keypoint 4: (x=813.87, y=361.44, confidence=1.00)
  Keypoint 5: (x=767.91, y=368.43, confidence=1.00)
  Keypoint 6: (x=822.73, y=312.71, confidence=1.00)
  Keypoint 7: (x=928.32, y=368.35, confidence=1.00)
  Keypoint 8: (x=956.65, y=391.39, confidence=0.99)
  Keypoint 9: (x=962.36, y=304.21, confidence=1.00)
Frame 3, Person 2:
  Keypoint 0: (x=589.86, y=274.31, confidence=1.00)
  Keypoint 1: (x=596.10, y=374.15, confidence=1.00)
  Keypoint 2: (x=557.18, y=330.09, confidence=1.00)
  Keypoint 3: (x=634.75, y=318.69, confidence=1.00)
  Keypoint 4: (x=518.12, y=374.51, confidence=1.00)
  Keypoint 5: (x=437.15, y=394.57, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=654.44, y=380.30, confidence=1.00)
  Keypoint 8: (x=707.21, y=359.27, confidence=1.00)
  Keypoint 9: (x=673.85, y=269.91, confidence=1.00)
Frame 3, Person 3:
  Keypoint 0: (x=1227.73, y=241.66, confidence=0.99)
  Keypoint 1: (x=1223.14, y=325.44, confidence=1.00)
  Keypoint 2: (x=1182.99, y=283.95, confidence=1.00)
  Keypoint 3: (x=1262.67, y=296.21, confidence=0.99)
  Keypoint 4: (x=1132.68, y=320.64, confidence=0.99)
  Keypoint 5: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=1246.78, y=339.83, confidence=0.99)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.02)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 4, Person 0:
  Keypoint 0: (x=181.36, y=273.88, confidence=1.00)
  Keypoint 1: (x=193.37, y=373.16, confidence=1.00)
  Keypoint 2: (x=151.33, y=337.56, confidence=1.00)
  Keypoint 3: (x=228.79, y=323.29, confidence=1.00)
  Keypoint 4: (x=147.64, y=384.61, confidence=1.00)
  Keypoint 5: (x=114.24, y=472.00, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=270.89, y=381.37, confidence=1.00)
  Keypoint 8: (x=332.05, y=427.46, confidence=1.00)
  Keypoint 9: (x=329.62, y=310.76, confidence=1.00)
Frame 4, Person 1:
  Keypoint 0: (x=883.45, y=267.04, confidence=1.00)
  Keypoint 1: (x=884.27, y=361.31, confidence=1.00)
  Keypoint 2: (x=843.49, y=318.01, confidence=1.00)
  Keypoint 3: (x=924.26, y=321.28, confidence=1.00)
  Keypoint 4: (x=813.86, y=361.43, confidence=1.00)
  Keypoint 5: (x=767.89, y=368.45, confidence=1.00)
  Keypoint 6: (x=822.72, y=312.71, confidence=1.00)
  Keypoint 7: (x=928.32, y=368.35, confidence=1.00)
  Keypoint 8: (x=956.64, y=391.41, confidence=0.99)
  Keypoint 9: (x=962.35, y=304.22, confidence=1.00)
Frame 4, Person 2:
  Keypoint 0: (x=589.87, y=274.32, confidence=1.00)
  Keypoint 1: (x=596.09, y=374.16, confidence=1.00)
  Keypoint 2: (x=557.18, y=330.09, confidence=1.00)
  Keypoint 3: (x=634.75, y=318.70, confidence=1.00)
  Keypoint 4: (x=518.12, y=374.52, confidence=1.00)
  Keypoint 5: (x=437.14, y=394.57, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=654.44, y=380.30, confidence=1.00)
  Keypoint 8: (x=707.21, y=359.26, confidence=1.00)
  Keypoint 9: (x=673.86, y=269.90, confidence=1.00)
Frame 4, Person 3:
  Keypoint 0: (x=1227.74, y=241.66, confidence=0.99)
  Keypoint 1: (x=1223.14, y=325.43, confidence=1.00)
  Keypoint 2: (x=1182.98, y=283.95, confidence=1.00)
  Keypoint 3: (x=1262.67, y=296.22, confidence=0.99)
  Keypoint 4: (x=1132.68, y=320.63, confidence=0.99)
  Keypoint 5: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=1246.77, y=339.83, confidence=0.99)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.02)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 5, Person 0:
  Keypoint 0: (x=181.40, y=273.86, confidence=1.00)
  Keypoint 1: (x=193.36, y=373.17, confidence=1.00)
  Keypoint 2: (x=151.31, y=337.51, confidence=1.00)
  Keypoint 3: (x=228.79, y=323.30, confidence=1.00)
  Keypoint 4: (x=147.63, y=384.62, confidence=1.00)
  Keypoint 5: (x=114.23, y=471.99, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
